month,clicks,impressions
2024-11,3,234
2024-12,26,1242
2025-01,34,1156
2025-02,43,893
2025-03,64,1159
2025-04,43,1341
2025-05,40,1694
2025-06,47,2154
2025-07,95,4209
2025-08,186,5602
2025-09,202,5275
2025-10,184,4390
2025-11,236,6515
2025-12,167,6528
2026-01,245,8912
2026-02,272,11411
2026-03,757,10314
