sessionSource,sessionMedium,sessions,engagedSessions
(direct),(none),1412,1095
google,organic,46,29
yahoo,organic,34,25
bing,organic,20,17
ig,social,7,3
irc-web.co.jp,referral,2,1
chatgpt.com,(not set),1,0
service.smt.docomo.ne.jp,referral,1,0
youtube.com,referral,1,1
