dateHour_raw,datetime_parsed,sessions,screenPageViews,totalUsers
2026032011,2026-03-20T11:00:00,14.0,49.0,13.0
2026032012,2026-03-20T12:00:00,7.0,27.0,7.0
2026032013,2026-03-20T13:00:00,14.0,69.0,14.0
2026032014,2026-03-20T14:00:00,9.0,31.0,9.0
2026032015,2026-03-20T15:00:00,16.0,45.0,16.0
2026032016,2026-03-20T16:00:00,10.0,65.0,10.0
2026032017,2026-03-20T17:00:00,7.0,10.0,7.0
2026032018,2026-03-20T18:00:00,10.0,31.0,10.0
2026032019,2026-03-20T19:00:00,18.0,75.0,17.0
2026032020,2026-03-20T20:00:00,12.0,51.0,12.0
2026032021,2026-03-20T21:00:00,15.0,35.0,15.0
2026032022,2026-03-20T22:00:00,14.0,49.0,14.0
2026032023,2026-03-20T23:00:00,7.0,26.0,7.0
2026032100,2026-03-21T00:00:00,7.0,31.0,7.0
2026032101,2026-03-21T01:00:00,3.0,8.0,3.0
2026032102,2026-03-21T02:00:00,1.0,13.0,1.0
2026032103,2026-03-21T03:00:00,3.0,9.0,3.0
2026032105,2026-03-21T05:00:00,1.0,9.0,1.0
