sessionSource,sessionMedium,sessions,engagedSessions
(direct),(none),155,84
bing,organic,19,19
google,organic,6,4
copilot.com,(not set),3,0
(not set),(not set),2,0
youtube.com,referral,2,1
ig,social,1,1
yahoo,organic,1,1
