post_id,title,slug,link,date,modified,featured_media,featured_url,featured_reuse_count,featured_needs_replacement,total_body_images,fixed_body_images,article_specific_body_images,article_image_ids,article_image_urls,body_images_to_add_for_target_3,h2_count,screenPageViews_12m,activeUsers_12m,sessions_12m,engagedSessions_12m,screenPageViews_90d,activeUsers_90d,sessions_90d,engagedSessions_90d,gsc_clicks_12m,gsc_impressions_12m,gsc_ctr_12m,gsc_position_12m,gsc_clicks_90d,gsc_impressions_90d,gsc_ctr_90d,gsc_position_90d,recent_pace_index,access_rank,top_search_queries_12m,recommended_image_action
980,【最新研究でわかった！】脊柱側弯症のタイプ別 筋肉の硬さの違いと治療への影響,%e3%80%90%e6%9c%80%e6%96%b0%e7%a0%94%e7%a9%b6%e3%81%a7%e3%82%8f%e3%81%8b%e3%81%a3%e3%81%9f%ef%bc%81%e3%80%91%e8%84%8a%e6%9f%b1%e5%81%b4%e5%bc%af%e7%97%87%e3%81%ae%e3%82%bf%e3%82%a4%e3%83%97%e5%88%a5,https://physical-balance-lab.com/980/,2024-09-26T11:42:52,2024-09-24T11:50:36,314,https://physical-balance-lab.com/wp/wp-content/uploads/2024/05/eyecatch.jpg,217,True,2,2,0,,,3,3,178.0,139.0,145.0,106.0,52.0,44.0,45.0,34.0,70.0,951.0,0.07360672975814932,6.961093585699264,35.0,407.0,0.085995085995086,5.88943488943489,1.184769038701623,11,側湾症ラボ（0クリック） / 名古屋 名東区 整体 側弯症（0クリック） / 側弯症 筋肉（0クリック） / 名古屋 整体 側湾症（0クリック） / 筋肉 タイプ別（0クリック）,記事別アイキャッチへ差し替え + 本文画像を3枚追加
612,【頚椎症で「首が詰まる」「上を向くと痛みを感じる」人はココを緩めて！】,%e3%80%90%e9%a0%9a%e6%a4%8e%e7%97%87%e3%81%a7%e3%80%8c%e9%a6%96%e3%81%8c%e8%a9%b0%e3%81%be%e3%82%8b%e3%80%8d%e3%80%8c%e4%b8%8a%e3%82%92%e5%90%91%e3%81%8f%e3%81%a8%e7%97%9b%e3%81%bf%e3%82%92%e6%84%9f,https://physical-balance-lab.com/612/,2019-02-02T17:09:05,2024-05-23T17:15:12,314,https://physical-balance-lab.com/wp/wp-content/uploads/2024/05/eyecatch.jpg,217,True,4,2,2,"613,614",https://physical-balance-lab.com/wp/wp-content/uploads/2024/05/IMG_2138.jpg | https://physical-balance-lab.com/wp/wp-content/uploads/2024/05/DALL·E-2024-05-23-17.13.19-A-Japanese-woman-is-tilting-her-head-to-the-right-while-stretching.-The-background-is-simple-white-highlighting-her-posture-1.jpg,1,1,171.0,139.0,147.0,97.0,24.0,24.0,24.0,17.0,37.0,2874.0,0.012874043145441893,8.502087682672233,7.0,1385.0,0.005054151624548736,4.47942238267148,0.5692007797270955,12,上を向くと首が詰まる（3クリック） / 上を向く 首が詰まる（2クリック） / 頚椎の詰まり（1クリック） / 首の詰まり（0クリック） / 首のつまり（0クリック）,記事別アイキャッチへ差し替え + 本文画像を1枚追加
1063,【腰痛】意外と知らない！体育座りの光と影 〜治療家が解説する正しい使い方〜,%e3%80%90%e8%85%b0%e7%97%9b%e3%80%91%e6%84%8f%e5%a4%96%e3%81%a8%e7%9f%a5%e3%82%89%e3%81%aa%e3%81%84%ef%bc%81%e4%bd%93%e8%82%b2%e5%ba%a7%e3%82%8a%e3%81%ae%e5%85%89%e3%81%a8%e5%bd%b1-%e3%80%9c%e6%b2%bb,https://physical-balance-lab.com/1063/,2024-11-12T12:25:44,2024-11-12T12:44:37,314,https://physical-balance-lab.com/wp/wp-content/uploads/2024/05/eyecatch.jpg,217,True,5,2,3,"1067,1066,1068",https://physical-balance-lab.com/wp/wp-content/uploads/2024/11/prompt-_a_high-resolution_realistic_photograph_of_a_young_boy_sitting_on_the_floor_against_a_plain__dcjhovy4modz5y8u5n2h_3.png | https://physical-balance-lab.com/wp/wp-content/uploads/2024/11/image_fx_-18.png | https://physical-balance-lab.com/wp/wp-content/uploads/2024/11/english_prompt_for_image_generation_ai-_a_photograph_of_a_young_japanese_woman_demonstrating_a_seat_fv7nrn93vogzgpqjtsl9_1.png,0,7,170.0,146.0,159.0,91.0,53.0,46.0,50.0,31.0,77.0,8608.0,0.008945167286245352,8.609549256505577,23.0,2111.0,0.010895310279488394,8.660350544765514,1.2643790849673204,13,反り腰 体育座り（19クリック） / 体育座り 反り腰（10クリック） / 体育座り 腰が痛い（2クリック） / 体育座り 腰痛 改善（2クリック） / 腰椎分離症 体育座り（2クリック）,記事別アイキャッチへ差し替え + 既存本文画像を目視確認
1173,【側弯症解説シリーズ】第4回：脊柱の動きを取り戻そう！脊柱側弯症があると硬くなる胸椎・腰椎の可動域制限について！,%e3%80%90%e5%81%b4%e5%bc%af%e7%97%87%e8%a7%a3%e8%aa%ac%e3%82%b7%e3%83%aa%e3%83%bc%e3%82%ba%e3%80%91%e7%ac%ac4%e5%9b%9e%ef%bc%9a%e8%84%8a%e6%9f%b1%e3%81%ae%e5%8b%95%e3%81%8d%e3%82%92%e5%8f%96%e3%82%8a,https://physical-balance-lab.com/1173/,2025-03-27T16:18:20,2025-03-27T16:18:20,314,https://physical-balance-lab.com/wp/wp-content/uploads/2024/05/eyecatch.jpg,217,True,2,2,0,,,3,8,148.0,105.0,124.0,79.0,54.0,42.0,48.0,28.0,62.0,2639.0,0.023493747631678667,8.169761273209549,29.0,955.0,0.030366492146596858,7.380104712041885,1.4797297297297296,14,胸 腰椎 移行部 ストレッチ（1クリック） / 胸腰椎移行部 ストレッチ（1クリック） / 腰椎 可動域評価 方法 自分で（0クリック） / 脊柱側屈（0クリック） / 胸椎 腰椎 可動域（0クリック）,記事別アイキャッチへ差し替え + 本文画像を3枚追加
584,【アキレス腱が固いその意外な原因とは？】,%e3%80%90%e3%82%a2%e3%82%ad%e3%83%ac%e3%82%b9%e8%85%b1%e3%81%8c%e5%9b%ba%e3%81%84%e3%81%9d%e3%81%ae%e6%84%8f%e5%a4%96%e3%81%aa%e5%8e%9f%e5%9b%a0%e3%81%a8%e3%81%af%ef%bc%9f%e3%80%91,https://physical-balance-lab.com/584/,2022-06-06T16:20:49,2024-06-24T11:03:56,314,https://physical-balance-lab.com/wp/wp-content/uploads/2024/05/eyecatch.jpg,217,True,2,1,1,586,https://physical-balance-lab.com/wp/wp-content/uploads/2024/05/IMG_1582__midium.jpg,2,2,134.0,103.0,106.0,88.0,53.0,41.0,42.0,35.0,30.0,1909.0,0.01571503404924044,8.448926139339967,20.0,1248.0,0.016025641025641024,8.133814102564102,1.6040630182421227,15,アキレス腱 硬い 生まれつき（3クリック） / アキレス腱が硬い（2クリック） / アキレス腱硬い（1クリック） / アキレス腱 硬い（1クリック） / アキレス腱 硬い 原因（1クリック）,記事別アイキャッチへ差し替え + 本文画像を2枚追加
317,【側弯症：脊柱側弯症とタバコの意外な関係】,%e3%80%90%e5%81%b4%e5%bc%af%e7%97%87%ef%bc%9a%e8%84%8a%e6%9f%b1%e5%81%b4%e5%bc%af%e7%97%87%e3%81%a8%e3%82%bf%e3%83%90%e3%82%b3%e3%81%ae%e6%84%8f%e5%a4%96%e3%81%aa%e9%96%a2%e4%bf%82%e3%80%91,https://physical-balance-lab.com/317/,2024-05-03T21:23:50,2024-05-23T16:10:57,314,https://physical-balance-lab.com/wp/wp-content/uploads/2024/05/eyecatch.jpg,217,True,2,2,0,,,3,3,132.0,114.0,122.0,74.0,29.0,25.0,27.0,16.0,80.0,3946.0,0.02027369488089204,8.256462240243284,20.0,1089.0,0.018365472910927456,7.909090909090909,0.890993265993266,16,タバコ 背中痛い（4クリック） / タバコ吸うと背中が痛い（3クリック） / 喫煙 背中の痛み（2クリック） / 禁煙 背中の痛み（1クリック） / タバコ吸ったら背中が痛い（1クリック）,記事別アイキャッチへ差し替え + 本文画像を3枚追加
1157,脊柱側弯症があっても快眠できる！最適な寝姿勢ガイドと注意点を解説！,%e8%84%8a%e6%9f%b1%e5%81%b4%e5%bc%af%e7%97%87%e3%81%8c%e3%81%82%e3%81%a3%e3%81%a6%e3%82%82%e5%bf%ab%e7%9c%a0%e3%81%a7%e3%81%8d%e3%82%8b%ef%bc%81%e6%9c%80%e9%81%a9%e3%81%aa%e5%af%9d%e5%a7%bf%e5%8b%a2,https://physical-balance-lab.com/1157/,2025-03-03T13:16:38,2025-03-03T13:16:38,314,https://physical-balance-lab.com/wp/wp-content/uploads/2024/05/eyecatch.jpg,217,True,3,2,1,844,https://physical-balance-lab.com/wp/wp-content/uploads/2024/07/00000041.jpg,2,8,125.0,72.0,81.0,67.0,22.0,14.0,17.0,11.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.7137777777777778,17,,記事別アイキャッチへ差し替え + 本文画像を2枚追加
1191,【側弯症解説シリーズ】第9回：側弯症を楽にする！専門家推奨のリハビリテーションプログラム,%e3%80%90%e5%81%b4%e5%bc%af%e7%97%87%e8%a7%a3%e8%aa%ac%e3%82%b7%e3%83%aa%e3%83%bc%e3%82%ba%e3%80%91%e7%ac%ac9%e5%9b%9e%ef%bc%9a%e5%81%b4%e5%bc%af%e7%97%87%e3%82%92%e6%a5%bd%e3%81%ab%e3%81%99%e3%82%8b,https://physical-balance-lab.com/1191/,2025-04-24T16:46:24,2025-04-24T16:49:00,314,https://physical-balance-lab.com/wp/wp-content/uploads/2024/05/eyecatch.jpg,217,True,2,2,0,,,3,9,107.0,75.0,82.0,58.0,47.0,33.0,36.0,23.0,30.0,943.0,0.031813361611876985,9.709437963944858,9.0,339.0,0.02654867256637168,8.353982300884955,1.7814122533748702,18,側弯症ラボ（0クリック） / 名古屋 名東区 整体 側弯症（0クリック） / 側弯症 ウォーキング（0クリック） / 側弯症 筋肉 バランス（0クリック） / 側弯症 ぶら下がり 効果（0クリック）,記事別アイキャッチへ差し替え + 本文画像を3枚追加
1169,【側弯症解説シリーズ】第2回：側弯症と動きの制限の関係って？知っておきたい関節可動域のお話,%e3%80%90%e5%81%b4%e5%bc%af%e7%97%87%e8%a7%a3%e8%aa%ac%e3%82%b7%e3%83%aa%e3%83%bc%e3%82%ba%e3%80%91%e7%ac%ac2%e5%9b%9e%ef%bc%9a%e5%81%b4%e5%bc%af%e7%97%87%e3%81%a8%e5%8b%95%e3%81%8d%e3%81%ae%e5%88%b6,https://physical-balance-lab.com/1169/,2025-03-21T17:03:11,2025-03-21T17:03:11,314,https://physical-balance-lab.com/wp/wp-content/uploads/2024/05/eyecatch.jpg,217,True,3,2,1,844,https://physical-balance-lab.com/wp/wp-content/uploads/2024/07/00000041.jpg,2,10,105.0,69.0,75.0,58.0,37.0,24.0,26.0,18.0,12.0,193.0,0.06217616580310881,5.455958549222798,8.0,140.0,0.05714285714285714,5.242857142857143,1.4291005291005292,19,脊柱側弯症（0クリック）,記事別アイキャッチへ差し替え + 本文画像を2枚追加
620,【腰痛予備軍：つま先重心で身体に起こること】,%e3%80%90%e8%85%b0%e7%97%9b%e4%ba%88%e5%82%99%e8%bb%8d%ef%bc%9a%e3%81%a4%e3%81%be%e5%85%88%e9%87%8d%e5%bf%83%e3%81%a7%e8%ba%ab%e4%bd%93%e3%81%ab%e8%b5%b7%e3%81%93%e3%82%8b%e3%81%93%e3%81%a8%e3%80%91,https://physical-balance-lab.com/620/,2022-05-13T17:37:47,2024-06-24T11:02:53,314,https://physical-balance-lab.com/wp/wp-content/uploads/2024/05/eyecatch.jpg,217,True,5,2,3,"621,622,623",https://physical-balance-lab.com/wp/wp-content/uploads/2024/05/00000482_eye_catch.jpg | https://physical-balance-lab.com/wp/wp-content/uploads/2024/05/DALL·E-2024-05-23-17.51.33-An-illustration-of-a-man-affected-by-toe-centered-posture.-He-has-a-mixed-posture-of-lordosis-and-kyphosis-showing-expressions-of-pain-in-his-waist-a.jpg | https://physical-balance-lab.com/wp/wp-content/uploads/2024/05/DALL·E-2024-05-23-17.51.35-A-comparative-diagram-showing-correct-posture-and-toe-centered-posture.-On-the-left-a-person-with-correct-posture-stands-with-their-weight-centered-b.jpg,0,6,98.0,79.0,88.0,56.0,21.0,18.0,21.0,12.0,57.0,2844.0,0.020042194092827006,6.69198312236287,11.0,682.0,0.016129032258064516,5.997067448680352,0.8690476190476191,20,つま先重心 治し 方（4クリック） / つま先重心（2クリック） / つま先重心 治し方（1クリック） / つま先に重心（1クリック） / つま先 重心（0クリック）,記事別アイキャッチへ差し替え + 既存本文画像を目視確認
