page,clicks,impressions,ctr,position,post_id
https://physical-balance-lab.com/guidance/gojukata-4/,0,1,0.0,4.0,
https://physical-balance-lab.com/guidance_category/gojukata/,0,1,0.0,46.0,
https://physical-balance-lab.com/guidance_category/sokuwanshou/,0,6,0.0,3.6666666666666665,
https://physical-balance-lab.com/guidance_category/yotsu/,0,4,0.0,9.5,
https://physical-balance-lab.com/news/,0,22,0.0,4.409090909090909,
https://physical-balance-lab.com/news/%E3%80%90%E3%81%8E%E3%81%A3%E3%81%8F%E3%82%8A%E8%85%B0%E3%81%AB%E6%B3%A8%E6%84%8F%E3%81%A7%E3%81%99%E3%82%88%EF%BC%81%E3%80%91/,0,6,0.0,7.666666666666667,
https://physical-balance-lab.com/news/%E3%80%90%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8%E3%83%AA%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%A2%E3%83%AB%E3%81%AE%E3%81%8A%E7%9F%A5%E3%82%89%E3%81%9B%E3%80%91/,0,11,0.0,4.545454545454545,
https://physical-balance-lab.com/news/%E3%80%90%E5%86%AC%E3%81%AE%E8%85%B0%E7%97%9B%E5%AF%BE%E7%AD%96%E3%81%A7%E3%82%84%E3%81%A3%E3%81%A6%E3%81%AF%E3%81%84%E3%81%91%E3%81%AA%E3%81%843%E3%81%A4%E3%81%AE%E3%81%93%E3%81%A8%E3%80%91/,0,25,0.0,64.52000000000001,
https://physical-balance-lab.com/news/%E3%80%90%E5%8F%B0%E9%A2%A8%E3%81%AB%E5%8D%81%E5%88%86%E8%AD%A6%E6%88%92%E3%81%97%E3%81%A6%E3%81%8F%E3%81%A0%E3%81%95%E3%81%84%EF%BC%81%E3%80%91/,0,4,0.0,6.5,
https://physical-balance-lab.com/news/%E3%80%90%E5%B9%B4%E5%86%85%E3%81%AF12%E6%9C%8828%E6%97%A5%E3%81%BE%E3%81%A7%E3%81%A7%E3%81%99%EF%BC%81%E3%80%91/,0,3,0.0,2.0,
https://physical-balance-lab.com/news/%E3%80%90%E6%94%B9%E3%82%81%E3%81%A6%E3%81%8A%E7%9B%86%E4%BC%91%E3%81%BF%E3%81%AE%E3%81%8A%E7%9F%A5%E3%82%89%E3%81%9B%E3%80%91-%E2%81%A1/,0,5,0.0,4.8,
https://physical-balance-lab.com/news/%E3%80%90%E7%AD%8B%E8%82%89%E3%81%8C%E7%A1%AC%E3%81%8F%E3%81%AA%E3%82%8B%E3%81%AE%E3%81%AF%E3%80%81%E9%96%A2%E7%AF%80%E3%81%AE%E5%8B%95%E3%81%8D%E3%81%8C%E5%B0%8F%E3%81%95%E3%81%84%E3%81%8B%E3%82%89/,0,10,0.0,7.3,
https://physical-balance-lab.com/news/%E3%80%90%E8%87%AA%E5%BE%8B%E7%A5%9E%E7%B5%8C%E3%81%AE%E4%B9%B1%E3%82%8C%E3%81%AB%E6%B0%97%E3%82%92%E3%81%A4%E3%81%91%E3%81%A6%EF%BC%81%E3%80%91/,0,9,0.0,10.666666666666666,
https://physical-balance-lab.com/news/%E3%80%90%E9%96%8B%E6%A5%AD10%E5%B9%B4%E3%80%82%E3%81%93%E3%81%93%E3%81%8B%E3%82%89%E3%81%8C%E6%9C%AC%E5%BD%93%E3%81%AE%E3%82%B9%E3%82%BF%E3%83%BC%E3%83%88%EF%BC%81%E3%80%91/,0,13,0.0,12.153846153846153,
https://physical-balance-lab.com/news/sample-news5/,0,4,0.0,7.0,
https://physical-balance-lab.com/privacy-policy/,0,2,0.0,1.0,
https://physical-balance-lab.com/tag/meito-ku/page/19/,0,2,0.0,8.0,19
